time,valence,frustration,focus,excitement,lat,lon
2017-03-12T12:29:23,54.88372,60,52.55814,59.53488,,
2017-03-12T12:29:24,55.813953,57.67442,52.55814,55.813953,55.947915,-3.194458
2017-03-12T12:29:25,57.67442,55.813953,53.48837,58.604652,,
2017-03-12T12:29:26,60,53.95349,54.418606,69.76744,,
2017-03-12T12:29:27,61.39535,52.55814,55.813953,80,,
2017-03-12T12:29:28,64.65116,51.627907,56.744186,80.93024,,
2017-03-12T12:29:29,72.09302,50.697674,57.67442,87.441864,,
2017-03-12T12:29:30,72.09302,50.23256,59.53488,97.674416,,
2017-03-12T12:29:31,82.790695,49.76744,60.465115,97.209305,55.947955,-3.194383
2017-03-12T12:29:32,94.4186,49.302326,61.39535,92.558136,,
2017-03-12T12:29:33,82.790695,48.837208,61.860466,88.37209,,
2017-03-12T12:29:34,71.62791,48.372097,59.069767,82.790695,,
2017-03-12T12:29:35,64.65116,48.372097,63.255814,78.139534,,
2017-03-12T12:29:36,60.465115,47.90698,60,80,,
2017-03-12T12:29:37,59.53488,47.90698,64.18605,73.023254,55.94831,-3.195003
2017-03-12T12:29:38,59.069767,47.90698,64.18605,72.09302,,
2017-03-12T12:29:39,59.069767,47.90698,64.65116,68.37209,,
2017-03-12T12:29:40,60.465115,47.441856,65.11628,72.558136,,
2017-03-12T12:29:41,62.7907,47.441856,65.5814,68.37209,,
2017-03-12T12:29:42,62.32558,47.441856,61.860466,69.30232,,
2017-03-12T12:29:43,62.32558,47.441856,66.976746,81.39535,55.947883,-3.194437
2017-03-12T12:29:44,62.7907,47.441856,67.441864,83.72093,,
2017-03-12T12:29:45,63.72093,47.441856,67.441864,73.95349,,
2017-03-12T12:29:46,68.83721,47.441856,68.37209,80.93024,,
2017-03-12T12:29:47,74.4186,47.441856,63.72093,63.255814,,
2017-03-12T12:29:48,71.16279,47.441856,63.72093,57.67442,,
2017-03-12T12:29:49,66.51163,47.441856,63.255814,50.23256,55.948245,-3.194427
2017-03-12T12:29:50,64.65116,46.976746,67.441864,47.441856,,
2017-03-12T12:29:51,66.51163,46.976746,67.441864,53.48837,,
2017-03-12T12:29:52,67.441864,46.976746,66.976746,39.999996,,
2017-03-12T12:29:53,66.51163,46.976746,66.51163,38.139534,,
2017-03-12T12:29:54,66.51163,46.976746,66.04651,38.604652,,
2017-03-12T12:29:55,66.51163,46.976746,60.930233,30.69767,55.947948,-3.194323
2017-03-12T12:29:56,66.04651,46.976746,64.65116,27.441856,,
2017-03-12T12:29:57,64.65116,46.976746,64.18605,26.976746,,
2017-03-12T12:29:58,65.11628,46.976746,64.65116,44.186043,,
2017-03-12T12:29:59,66.51163,46.976746,63.72093,35.34884,,
2017-03-12T12:30:00,66.976746,46.976746,63.255814,36.27907,,
2017-03-12T12:30:01,66.51163,46.976746,63.255814,36.744183,,
2017-03-12T12:30:02,65.5814,46.976746,62.7907,39.534885,55.948222,-3.194523
2017-03-12T12:30:03,64.65116,46.976746,58.604652,42.7907,,
2017-03-12T12:30:04,63.72093,46.976746,62.7907,47.90698,,
2017-03-12T12:30:05,64.18605,46.976746,62.32558,45.581394,,
2017-03-12T12:30:06,65.11628,46.976746,61.860466,36.27907,,
2017-03-12T12:30:07,65.5814,46.976746,60.930233,28.372093,55.948435,-3.195085
2017-03-12T12:30:08,68.83721,46.976746,60.930233,37.2093,,
2017-03-12T12:30:09,75.81395,46.976746,60.930233,41.860466,,
2017-03-12T12:30:10,73.95349,46.976746,60.465115,41.860466,,
2017-03-12T12:30:11,68.83721,46.976746,60.465115,45.581394,,
2017-03-12T12:30:12,67.906975,46.976746,60.465115,54.418606,,
2017-03-12T12:30:13,70.69768,46.976746,60.930233,63.72093,55.948462,-3.194872
2017-03-12T12:30:14,73.95349,46.976746,60.930233,63.72093,,
2017-03-12T12:30:15,85.11628,46.976746,57.2093,65.11628,,
2017-03-12T12:30:16,88.83721,46.976746,61.39535,64.65116,,
2017-03-12T12:30:17,82.790695,46.976746,62.32558,71.62791,,
2017-03-12T12:30:18,80.93024,46.976746,61.860466,71.62791,,
2017-03-12T12:30:19,81.860466,46.976746,61.860466,62.7907,,
2017-03-12T12:30:20,77.67442,46.976746,61.860466,57.67442,,
2017-03-12T12:30:21,68.83721,46.976746,61.39535,50.697674,,
2017-03-12T12:30:22,65.11628,46.976746,61.39535,57.67442,,
2017-03-12T12:30:23,62.7907,46.976746,57.2093,53.023254,55.948522,-3.194848
2017-03-12T12:30:24,62.32558,46.976746,56.744186,48.372097,,
2017-03-12T12:30:25,63.72093,52.09302,60.930233,56.279068,,
2017-03-12T12:30:26,65.11628,56.279068,61.39535,62.32558,,
2017-03-12T12:30:27,66.51163,59.53488,61.860466,73.023254,,
2017-03-12T12:30:28,66.51163,62.32558,61.860466,66.04651,55.948432,-3.194278
2017-03-12T12:30:29,65.5814,64.65116,64.18605,66.04651,,
2017-03-12T12:30:30,65.11628,66.04651,61.860466,59.069767,,
2017-03-12T12:30:31,65.11628,67.906975,62.32558,70.23256,,
2017-03-12T12:30:32,64.18605,68.83721,62.32558,64.65116,,
2017-03-12T12:30:33,62.7907,69.76744,62.7907,64.18605,,
2017-03-12T12:30:34,62.7907,70.69768,62.7907,65.11628,,
2017-03-12T12:30:35,61.860466,71.16279,66.976746,58.604652,,
2017-03-12T12:30:36,60.930233,71.62791,66.976746,49.76744,,
2017-03-12T12:30:37,60.930233,72.09302,66.976746,53.023254,,
2017-03-12T12:30:38,60.465115,72.558136,66.976746,49.302326,,
2017-03-12T12:30:39,60,72.558136,66.04651,36.744183,,
2017-03-12T12:30:40,60,69.30232,64.18605,33.95349,,
2017-03-12T12:30:41,60,67.441864,62.7907,27.441856,,
2017-03-12T12:30:42,60,66.04651,59.53488,31.162796,,
2017-03-12T12:30:43,60,65.11628,61.39535,28.372093,55.948673,-3.194285
2017-03-12T12:30:44,59.069767,64.18605,59.069767,36.27907,,
2017-03-12T12:30:45,60,63.255814,60,51.162792,,
2017-03-12T12:30:46,60,62.32558,60,53.023254,,
2017-03-12T12:30:47,64.65116,61.860466,60.465115,62.7907,55.948545,-3.193887
2017-03-12T12:30:48,65.5814,61.39535,61.39535,54.88372,,
2017-03-12T12:30:49,66.04651,60.930233,60.930233,62.32558,,
2017-03-12T12:30:50,65.5814,60.465115,61.39535,70.23256,,
2017-03-12T12:30:51,65.5814,60.465115,61.860466,66.04651,,
2017-03-12T12:30:52,66.976746,60,62.7907,64.65116,55.948608,-3.193895
2017-03-12T12:30:53,66.04651,60,61.860466,60.465115,,
2017-03-12T12:30:54,65.11628,60,62.7907,71.62791,,
2017-03-12T12:30:55,66.51163,60,63.255814,78.139534,,
2017-03-12T12:30:56,65.5814,59.53488,64.18605,79.06976,,
2017-03-12T12:30:57,65.5814,59.53488,64.18605,70.69768,,
2017-03-12T12:30:58,66.51163,59.53488,64.18605,64.18605,,
2017-03-12T12:30:59,73.023254,59.53488,63.72093,60.465115,55.948853,-3.193892
2017-03-12T12:31:00,78.60465,59.53488,63.72093,54.88372,,
2017-03-12T12:31:01,73.48837,59.53488,63.72093,51.162792,,
2017-03-12T12:31:02,70.23256,59.53488,63.72093,57.67442,,
2017-03-12T12:31:03,74.88372,59.53488,64.65116,71.62791,,
2017-03-12T12:31:04,73.023254,59.53488,64.18605,62.32558,,
2017-03-12T12:31:05,72.558136,59.53488,65.5814,75.81395,55.94896,-3.193717
2017-03-12T12:31:06,75.81395,59.53488,65.11628,68.83721,,
2017-03-12T12:31:07,71.62791,59.53488,65.11628,62.32558,,
2017-03-12T12:31:08,66.976746,59.53488,66.04651,78.139534,,
2017-03-12T12:31:09,63.72093,59.53488,66.51163,80.93024,,
2017-03-12T12:31:10,62.32558,59.53488,66.976746,77.209305,,
2017-03-12T12:31:11,62.32558,59.53488,67.906975,88.83721,55.94935,-3.193703
2017-03-12T12:31:12,62.32558,59.53488,67.441864,70.23256,,
2017-03-12T12:31:13,61.39535,59.53488,68.83721,85.5814,,
2017-03-12T12:31:14,68.37209,59.53488,68.83721,89.76744,,
2017-03-12T12:31:15,78.60465,59.53488,68.83721,79.53488,,
2017-03-12T12:31:16,79.53488,59.53488,69.30232,83.72093,,
2017-03-12T12:31:17,80.93024,59.53488,69.30232,78.139534,,
2017-03-12T12:31:18,84.65116,59.53488,70.23256,85.5814,,
2017-03-12T12:31:19,83.25581,59.53488,70.23256,71.16279,,
2017-03-12T12:31:20,77.67442,59.53488,69.76744,64.65116,,
2017-03-12T12:31:21,69.30232,59.53488,70.23256,70.69768,,
2017-03-12T12:31:22,65.5814,59.53488,70.23256,68.37209,55.948407,-3.193133
2017-03-12T12:31:23,66.04651,59.53488,70.23256,70.69768,,
2017-03-12T12:31:24,65.5814,59.53488,71.16279,76.74419,,
2017-03-12T12:31:25,65.11628,59.53488,71.16279,79.06976,,
2017-03-12T12:31:26,64.65116,59.53488,72.09302,91.16279,,
2017-03-12T12:31:27,63.72093,59.53488,72.558136,93.95349,,
2017-03-12T12:31:28,61.39535,59.53488,72.558136,75.34884,,
2017-03-12T12:31:29,62.32558,59.53488,72.09302,69.30232,,
2017-03-12T12:31:30,61.860466,59.53488,72.558136,73.023254,,
