time,valence,frustration,focus,excitement,lat,lon
2017-03-10T11:30:20,0,0,48.372097,0,,
2017-03-10T11:30:21,0,0,48.372097,0,,
2017-03-10T11:30:22,0,0,48.372097,0,,
2017-03-10T11:30:23,0,0,30.69767,0.9302292,55.948013,-3.194621
2017-03-10T11:30:24,0,0,31.162796,5.581398,,
2017-03-10T11:30:25,0,0,31.162796,11.162796,,
2017-03-10T11:30:26,0,0,32.093025,27.906975,,
2017-03-10T11:30:27,46.046513,0,33.488373,53.95349,,
2017-03-10T11:30:28,66.976746,0,36.27907,86.04651,,
2017-03-10T11:30:29,79.53488,0,17.209305,100,,
2017-03-10T11:30:30,83.72093,70.69768,44.186043,100,,
2017-03-10T11:30:31,88.83721,86.04651,51.627907,100,,
2017-03-10T11:30:32,90.69768,100,58.139534,100,,
2017-03-10T11:30:33,95.81395,100,45.11628,100,,
2017-03-10T11:30:34,100,100,46.511627,100,,
2017-03-10T11:30:35,100,100,47.90698,97.209305,,
2017-03-10T11:30:36,100,100,64.65116,97.209305,,
2017-03-10T11:30:37,100,100,65.5814,93.95349,,
2017-03-10T11:30:38,100,93.48837,64.65116,95.34884,55.948016,-3.194508
2017-03-10T11:30:39,100,92.558136,66.04651,94.88372,,
2017-03-10T11:30:40,100,92.093025,54.418606,89.30232,,
2017-03-10T11:30:41,100,91.62791,56.279068,94.88372,,
2017-03-10T11:30:42,100,91.16279,57.67442,94.88372,,
2017-03-10T11:30:43,100,91.16279,68.83721,69.30232,,
2017-03-10T11:30:44,100,90.69768,69.76744,72.558136,,
2017-03-10T11:30:45,100,90.69768,58.604652,66.51163,55.948115,-3.194700
2017-03-10T11:30:46,100,90.23256,59.53488,66.51163,,
2017-03-10T11:30:47,100,90.23256,71.16279,56.744186,,
2017-03-10T11:30:48,100,90.23256,59.53488,51.162792,,
2017-03-10T11:30:49,100,90.23256,60,48.837208,,
2017-03-10T11:30:50,100,90.23256,60.465115,52.55814,,
2017-03-10T11:30:51,100,89.76744,60.465115,49.302326,,
2017-03-10T11:30:52,100,89.76744,60.930233,46.976746,,
2017-03-10T11:30:53,100,89.76744,60.930233,45.581394,55.948103,-3.194518
2017-03-10T11:30:54,100,89.76744,61.39535,52.55814,,
2017-03-10T11:30:55,100,89.76744,62.32558,62.7907,,
2017-03-10T11:30:56,100,89.76744,63.72093,78.139534,,
2017-03-10T11:30:57,100,89.76744,64.65116,83.25581,,
2017-03-10T11:30:58,100,89.76744,77.209305,87.441864,,
2017-03-10T11:30:59,100,89.76744,66.51163,83.72093,,
2017-03-10T11:31:00,100,89.76744,67.441864,85.11628,,
2017-03-10T11:31:01,100,89.76744,68.37209,92.558136,55.947837,-3.194395
2017-03-10T11:31:02,100,89.76744,69.30232,93.023254,,
2017-03-10T11:31:03,100,89.76744,69.76744,81.39535,,
2017-03-10T11:31:04,100,89.76744,69.76744,73.48837,,
2017-03-10T11:31:05,100,89.76744,69.30232,60.930233,,
2017-03-10T11:31:06,100,89.76744,68.83721,52.09302,,
2017-03-10T11:31:07,100,89.76744,68.83721,47.441856,,
2017-03-10T11:31:08,100,89.76744,68.83721,47.90698,55.948363,-3.194549
2017-03-10T11:31:09,100,89.76744,68.37209,45.11628,,
2017-03-10T11:31:10,100,89.76744,67.906975,42.32558,,
2017-03-10T11:31:11,100,89.76744,67.441864,39.069767,,
2017-03-10T11:31:12,100,89.76744,67.441864,40.46512,,
2017-03-10T11:31:13,100,89.76744,67.441864,41.395348,,
2017-03-10T11:31:14,100,89.76744,66.976746,44.65116,,
2017-03-10T11:31:15,100,89.76744,66.976746,44.186043,,
2017-03-10T11:31:16,100,89.76744,66.51163,39.069767,,
2017-03-10T11:31:17,100,89.76744,66.04651,37.2093,,
2017-03-10T11:31:18,100,89.76744,65.5814,42.7907,55.948360,-3.194460
2017-03-10T11:31:19,100,89.76744,66.04651,51.162792,,
2017-03-10T11:31:20,100,89.76744,65.5814,52.55814,,
2017-03-10T11:31:21,100,89.76744,65.5814,52.55814,,
2017-03-10T11:31:22,100,89.76744,65.11628,48.372097,,
2017-03-10T11:31:23,100,89.76744,64.65116,48.372097,,
2017-03-10T11:31:24,100,89.76744,64.18605,44.186043,,
2017-03-10T11:31:25,100,89.76744,63.72093,38.604652,,
2017-03-10T11:31:26,100,89.76744,62.7907,35.81395,,
2017-03-10T11:31:27,100,89.76744,62.32558,37.2093,,
2017-03-10T11:31:28,100,89.76744,62.32558,47.441856,,
2017-03-10T11:31:29,100,89.76744,63.255814,66.976746,,
2017-03-10T11:31:30,100,89.76744,64.18605,85.5814,,
2017-03-10T11:31:31,100,89.76744,65.11628,91.62791,,
2017-03-10T11:31:32,100,89.76744,65.11628,83.25581,,
2017-03-10T11:31:33,100,89.76744,65.11628,82.790695,,
2017-03-10T11:31:34,100,89.76744,65.11628,71.62791,55.948648,-3.194503
2017-03-10T11:31:35,100,89.76744,65.11628,68.37209,,
2017-03-10T11:31:36,100,89.76744,64.65116,60.930233,,
2017-03-10T11:31:37,100,89.76744,64.18605,53.95349,,
2017-03-10T11:31:38,100,89.76744,64.18605,53.95349,55.948543,-3.194343
2017-03-10T11:31:39,100,89.76744,63.255814,43.720932,,
2017-03-10T11:31:40,100,89.76744,62.7907,37.67442,,
2017-03-10T11:31:41,100,89.76744,61.860466,28.837212,,
2017-03-10T11:31:42,100,89.76744,60.930233,25.581398,,
2017-03-10T11:31:43,100,89.76744,60,22.325584,,
2017-03-10T11:31:44,100,89.76744,59.069767,18.139534,,
2017-03-10T11:31:45,100,89.76744,58.604652,14.88372,,
2017-03-10T11:31:46,100,89.76744,58.139534,14.88372,,
2017-03-10T11:31:47,100,89.76744,57.2093,13.023254,,
2017-03-10T11:31:48,100,89.76744,55.813953,7.9069824,,
2017-03-10T11:31:49,100,89.76744,54.88372,6.511627,55.948758,-3.194108
2017-03-10T11:31:50,100,89.76744,53.95349,4.651169,,
2017-03-10T11:31:51,100,89.76744,53.48837,6.046509,,
2017-03-10T11:31:52,100,89.76744,52.55814,10.697678,,
2017-03-10T11:31:53,100,89.76744,52.55814,16.744186,55.948594,-3.194064
2017-03-10T11:31:54,100,89.76744,52.09302,25.581398,,
2017-03-10T11:31:55,100,89.76744,52.09302,27.906975,,
2017-03-10T11:31:56,100,89.76744,51.627907,28.837212,,
2017-03-10T11:31:57,100,89.76744,51.162792,28.837212,,
2017-03-10T11:31:58,100,89.76744,50.697674,24.651161,,
2017-03-10T11:31:59,100,89.76744,50.23256,24.651161,,
