time,valence,frustration,focus,excitement,lat,lon
2017-03-12T11:41:32,53.023254,39.069767,40.930237,23.720932,,
2017-03-12T11:41:33,50.697674,37.2093,47.90698,26.511627,,
2017-03-12T11:41:34,52.55814,35.81395,39.534885,27.441856,55.948097,-3.194578
2017-03-12T11:41:35,54.418606,35.81395,39.534885,25.581398,,
2017-03-12T11:41:36,54.88372,33.95349,38.604652,23.255814,,
2017-03-12T11:41:37,53.023254,31.627907,37.67442,25.11628,,
2017-03-12T11:41:38,51.162792,27.441856,34.88372,32.093025,55.947963,-3.19463
2017-03-12T11:41:39,48.837208,25.581398,32.558136,31.627907,,
2017-03-12T11:41:40,47.441856,23.255814,31.162796,34.41861,,
2017-03-12T11:41:41,46.976746,21.860466,30.23256,36.744183,,
2017-03-12T11:41:42,46.046513,21.860466,30.23256,39.999996,,
2017-03-12T11:41:43,46.511627,21.395348,29.76744,36.27907,,
2017-03-12T11:41:44,49.302326,21.860466,30.23256,31.627907,55.94806,-3.194627
2017-03-12T11:41:45,50.697674,21.395348,30.69767,28.837212,,
2017-03-12T11:41:46,47.90698,20,30.69767,25.11628,,
2017-03-12T11:41:47,45.581394,20,30.69767,22.790703,,
2017-03-12T11:41:48,44.65116,20.93023,30.69767,21.395348,,
2017-03-12T11:41:49,46.976746,25.11628,32.558136,19.53489,55.948122,-3.194573
2017-03-12T11:41:50,49.76744,36.744183,37.2093,22.790703,,
2017-03-12T11:41:51,52.09302,39.999996,38.604652,26.511627,,
2017-03-12T11:41:52,54.88372,40.930237,38.604652,24.186043,,
2017-03-12T11:41:53,56.744186,42.32558,45.11628,20,,
2017-03-12T11:41:54,61.860466,43.255814,39.069767,17.209305,,
2017-03-12T11:41:55,63.72093,42.7907,38.604652,12.558136,55.948032,-3.194523
2017-03-12T11:41:56,60.465115,41.860466,44.186043,12.093025,,
2017-03-12T11:41:57,59.069767,40.930237,44.186043,17.674416,,
2017-03-12T11:41:58,60.465115,39.999996,37.67442,21.860466,,
2017-03-12T11:41:59,61.860466,38.604652,37.2093,26.046516,,
2017-03-12T11:42:00,60.930233,36.27907,44.65116,31.162796,,
2017-03-12T11:42:01,59.53488,33.95349,45.11628,39.069767,55.948267,-3.194503
2017-03-12T11:42:02,63.72093,32.558136,45.11628,37.67442,,
2017-03-12T11:42:03,70.23256,31.162796,35.34884,35.81395,,
2017-03-12T11:42:04,73.95349,30.23256,34.88372,28.372093,,
2017-03-12T11:42:05,74.88372,34.41861,36.27907,23.720932,,
2017-03-12T11:42:06,72.558136,37.67442,37.2093,23.255814,,
2017-03-12T11:42:07,71.62791,39.534885,44.65116,22.790703,,
2017-03-12T11:42:08,69.30232,41.395348,38.139534,21.395348,55.948222,-3.194782
2017-03-12T11:42:09,67.441864,43.255814,38.604652,21.860466,,
2017-03-12T11:42:10,64.18605,44.186043,39.069767,22.790703,,
2017-03-12T11:42:11,61.860466,45.11628,39.534885,24.186043,,
2017-03-12T11:42:12,60.930233,46.046513,39.999996,26.046516,,
2017-03-12T11:42:13,60.930233,43.255814,39.069767,29.76744,,
2017-03-12T11:42:14,59.53488,40.930237,38.139534,29.76744,55.94825,-3.194588
2017-03-12T11:42:15,57.67442,40.46512,44.65116,28.837212,,
2017-03-12T11:42:16,56.744186,40.46512,38.139534,33.488373,,
2017-03-12T11:42:17,57.2093,40.46512,45.11628,34.88372,,
2017-03-12T11:42:18,60.930233,40.46512,45.11628,31.162796,,
2017-03-12T11:42:19,63.255814,40.46512,38.139534,29.76744,,
2017-03-12T11:42:20,63.255814,42.32558,39.534885,34.88372,,
2017-03-12T11:42:21,65.11628,43.255814,39.999996,35.34884,,
2017-03-12T11:42:22,65.5814,42.32558,45.11628,32.558136,,
2017-03-12T11:42:23,64.65116,42.32558,39.999996,37.67442,,
2017-03-12T11:42:24,63.72093,41.395348,39.999996,33.023254,55.948385,-3.19464
2017-03-12T11:42:25,63.255814,41.395348,39.534885,33.023254,,
2017-03-12T11:42:26,63.255814,41.395348,39.534885,34.41861,,
2017-03-12T11:42:27,62.7907,37.2093,39.069767,38.139534,,
2017-03-12T11:42:28,60.465115,39.069767,39.999996,42.7907,,
2017-03-12T11:42:29,59.069767,40.46512,40.930237,46.976746,55.948355,-3.194487
2017-03-12T11:42:30,60,44.65116,42.7907,45.11628,,
2017-03-12T11:42:31,62.7907,45.581394,42.7907,37.67442,,
2017-03-12T11:42:32,62.32558,45.581394,42.7907,38.604652,,
2017-03-12T11:42:33,62.32558,44.65116,42.7907,39.534885,,
2017-03-12T11:42:34,64.18605,41.860466,42.32558,43.255814,,
2017-03-12T11:42:35,62.7907,38.139534,48.372097,40.46512,55.948528,-3.194852
2017-03-12T11:42:36,59.53488,35.34884,39.999996,39.069767,,
2017-03-12T11:42:37,61.39535,35.34884,40.46512,40.46512,,
2017-03-12T11:42:38,61.860466,37.67442,41.395348,39.534885,,
2017-03-12T11:42:39,60.930233,39.534885,42.32558,39.534885,,
2017-03-12T11:42:40,61.860466,40.930237,43.255814,44.65116,,
2017-03-12T11:42:41,62.7907,42.32558,43.720932,45.581394,55.948547,-3.194505
2017-03-12T11:42:42,63.72093,42.7907,44.186043,38.604652,,
2017-03-12T11:42:43,62.32558,41.395348,43.255814,33.95349,,
2017-03-12T11:42:44,60.930233,40.46512,42.7907,32.558136,,
2017-03-12T11:42:45,62.32558,39.999996,42.32558,27.441856,,
2017-03-12T11:42:46,65.11628,40.930237,43.255814,32.558136,55.948655,-3.19455
2017-03-12T11:42:47,63.72093,39.999996,42.7907,31.627907,,
2017-03-12T11:42:48,60.465115,38.139534,42.32558,32.558136,,
2017-03-12T11:42:49,61.860466,38.604652,42.32558,31.162796,,
2017-03-12T11:42:50,64.18605,38.139534,42.32558,32.558136,,
2017-03-12T11:42:51,63.72093,36.744183,49.302326,29.302322,,
2017-03-12T11:42:52,63.72093,35.81395,41.395348,32.558136,,
2017-03-12T11:42:53,65.5814,34.88372,40.930237,34.41861,,
2017-03-12T11:42:54,73.48837,33.95349,49.76744,32.558136,,
2017-03-12T11:42:55,79.53488,33.488373,49.76744,37.2093,,
2017-03-12T11:42:56,75.34884,33.023254,40.930237,39.069767,,
2017-03-12T11:42:57,71.62791,33.023254,50.23256,38.604652,,
2017-03-12T11:42:58,71.16279,32.558136,40.930237,37.67442,,
2017-03-12T11:42:59,74.4186,32.093025,50.23256,39.999996,,
2017-03-12T11:43:00,70.69768,32.093025,50.23256,36.744183,,
2017-03-12T11:43:01,70.23256,32.093025,50.697674,43.720932,55.948438,-3.19428
2017-03-12T11:43:02,73.023254,31.627907,51.627907,54.418606,,
2017-03-12T11:43:03,72.558136,31.627907,52.09302,55.813953,,
2017-03-12T11:43:04,71.16279,31.627907,52.55814,53.95349,,
2017-03-12T11:43:05,68.37209,31.627907,52.55814,51.162792,,
2017-03-12T11:43:06,67.441864,31.627907,53.023254,60.465115,,
2017-03-12T11:43:07,67.906975,31.627907,53.48837,55.34884,,
2017-03-12T11:43:08,67.441864,31.627907,53.95349,57.2093,55.94823,-3.194105
