time,valence,frustration,focus,excitement,lat,lon
2017-03-12T13:14:43,54.88372,39.999996,58.604652,55.34884,,
2017-03-12T13:14:44,54.88372,39.999996,58.604652,55.34884,,
2017-03-12T13:14:45,53.023254,31.162796,54.88372,56.744186,,
2017-03-12T13:14:46,52.55814,29.76744,54.418606,60,,
2017-03-12T13:14:47,51.627907,28.372093,53.95349,56.744186,55.947645,-3.194545
2017-03-12T13:14:48,51.162792,27.441856,65.5814,68.83721,,
2017-03-12T13:14:49,53.95349,26.511627,66.04651,76.74419,,
2017-03-12T13:14:50,58.604652,26.046516,53.95349,64.65116,,
2017-03-12T13:14:51,59.069767,25.581398,53.48837,59.069767,,
2017-03-12T13:14:52,57.2093,26.046516,52.55814,46.511627,55.948315,-3.194662
2017-03-12T13:14:53,54.88372,26.046516,65.11628,64.65116,,
2017-03-12T13:14:54,54.418606,26.511627,53.95349,67.906975,,
2017-03-12T13:14:55,54.418606,26.511627,54.418606,73.023254,,
2017-03-12T13:14:56,55.813953,26.511627,53.95349,56.744186,,
2017-03-12T13:14:57,54.88372,27.906975,54.418606,60.465115,55.948415,-3.19475
2017-03-12T13:14:58,54.88372,36.27907,65.11628,56.744186,,
2017-03-12T13:14:59,54.88372,43.255814,65.11628,54.88372,,
2017-03-12T13:15:00,56.279068,48.837208,64.65116,48.837208,,
2017-03-12T13:15:01,58.139534,53.48837,63.72093,39.534885,,
2017-03-12T13:15:02,60.465115,57.2093,63.255814,33.488373,,
2017-03-12T13:15:03,62.7907,60.465115,62.32558,33.488373,,
2017-03-12T13:15:04,65.11628,61.39535,62.32558,32.558136,,
2017-03-12T13:15:05,72.558136,63.72093,61.39535,27.441856,55.94838,-3.195022
2017-03-12T13:15:06,73.48837,65.5814,60.930233,33.488373,,
2017-03-12T13:15:07,67.441864,66.976746,61.39535,45.581394,,
2017-03-12T13:15:08,67.906975,68.37209,61.860466,56.279068,,
2017-03-12T13:15:09,74.88372,69.30232,61.39535,53.48837,,
2017-03-12T13:15:10,72.09302,69.76744,61.39535,50.23256,,
2017-03-12T13:15:11,69.76744,70.69768,61.860466,65.11628,,
2017-03-12T13:15:12,66.51163,71.16279,62.7907,80.93024,,
2017-03-12T13:15:13,62.7907,71.62791,68.83721,89.76744,55.948228,-3.194788
2017-03-12T13:15:14,59.53488,71.62791,69.76744,95.81395,,
2017-03-12T13:15:15,57.67442,70.23256,66.04651,100,,
2017-03-12T13:15:16,56.279068,69.76744,70.23256,93.48837,,
2017-03-12T13:15:17,57.67442,68.83721,67.441864,100,,
2017-03-12T13:15:18,58.139534,68.37209,67.906975,91.62791,55.948328,-3.19508
2017-03-12T13:15:19,58.604652,67.906975,67.441864,75.34884,,
2017-03-12T13:15:20,60,67.906975,67.441864,69.76744,,
2017-03-12T13:15:21,60.465115,67.441864,67.441864,63.72093,,
2017-03-12T13:15:22,62.7907,67.441864,66.976746,60,,
2017-03-12T13:15:23,63.255814,66.976746,70.23256,65.5814,,
