time,valence,frustration,focus,excitement,lat,lon
2017-03-10T13:11:33,62.32558,98.139534,81.860466,46.046513,,
2017-03-10T13:11:34,60,85.5814,76.27907,35.34884,,
2017-03-10T13:11:35,55.813953,75.81395,72.09302,31.162796,55.947926,-3.194611
2017-03-10T13:11:36,51.627907,68.37209,69.30232,28.372093,,
2017-03-10T13:11:37,50.697674,60.930233,66.51163,33.023254,,
2017-03-10T13:11:38,50.697674,58.139534,65.11628,31.627907,,
2017-03-10T13:11:39,50.697674,54.88372,63.255814,27.906975,,
2017-03-10T13:11:40,51.162792,54.418606,61.860466,23.255814,,
2017-03-10T13:11:41,52.09302,59.53488,62.7907,26.046516,,
2017-03-10T13:11:42,60.465115,67.441864,61.860466,29.76744,,
2017-03-10T13:11:43,64.18605,73.95349,67.906975,41.395348,,
2017-03-10T13:11:44,60.465115,79.06976,68.83721,35.34884,,
2017-03-10T13:11:45,57.67442,73.023254,65.5814,29.76744,55.94802,-3.194577
2017-03-10T13:11:46,54.88372,68.83721,63.72093,29.302322,,
2017-03-10T13:11:47,54.88372,66.51163,61.860466,26.046516,,
2017-03-10T13:11:48,55.34884,64.18605,60.465115,25.581398,,
2017-03-10T13:11:49,56.279068,62.7907,60,31.627907,,
2017-03-10T13:11:50,60.930233,85.5814,58.139534,37.2093,55.947932,-3.194384
2017-03-10T13:11:51,67.441864,100,58.139534,46.511627,,
2017-03-10T13:11:52,74.4186,100,73.48837,52.55814,,
2017-03-10T13:11:53,77.209305,100,73.95349,60.465115,,
2017-03-10T13:11:54,77.209305,100,73.48837,56.744186,,
2017-03-10T13:11:55,80,100,59.069767,57.67442,,
2017-03-10T13:11:56,83.72093,100,73.95349,61.860466,,
2017-03-10T13:11:57,86.51163,100,59.53488,62.7907,,
2017-03-10T13:11:58,84.18604,100,73.95349,55.34884,,
2017-03-10T13:11:59,84.18604,100,73.95349,50.697674,,
2017-03-10T13:12:00,83.25581,100,73.023254,35.34884,,
2017-03-10T13:12:01,82.32558,100,72.558136,33.488373,,
2017-03-10T13:12:02,80.93024,100,56.744186,25.11628,55.948452,-3.194358
2017-03-10T13:12:03,80.46512,100,71.62791,33.95349,,
2017-03-10T13:12:04,81.860466,100,71.62791,35.81395,,
2017-03-10T13:12:05,80,100,71.62791,40.930237,55.948016,-3.194508
2017-03-10T13:12:06,76.74419,100,55.813953,30.69767,,
2017-03-10T13:12:07,75.81395,100,71.16279,45.581394,,
2017-03-10T13:12:08,77.209305,100,56.744186,61.39535,,
2017-03-10T13:12:09,78.60465,100,72.558136,67.441864,,
2017-03-10T13:12:10,80.46512,100,72.09302,56.279068,,
2017-03-10T13:12:11,80.93024,100,57.2093,56.279068,,
2017-03-10T13:12:12,79.06976,100,72.09302,52.09302,,
2017-03-10T13:12:13,79.06976,100,72.09302,54.88372,,
2017-03-10T13:12:14,79.06976,100,71.62791,47.441856,,
2017-03-10T13:12:15,77.67442,100,71.62791,46.046513,,
2017-03-10T13:12:16,77.67442,100,71.16279,39.999996,,
2017-03-10T13:12:17,78.60465,100,55.813953,39.999996,,
2017-03-10T13:12:18,77.209305,100,55.813953,42.7907,55.94836,-3.194505
2017-03-10T13:12:19,76.27907,100,70.69768,42.32558,,
2017-03-10T13:12:20,77.67442,100,55.34884,33.488373,,
2017-03-10T13:12:21,79.53488,100,70.23256,39.069767,55.948318,-3.194601
2017-03-10T13:12:22,82.790695,100,55.34884,39.534885,,
2017-03-10T13:12:23,81.39535,100,55.813953,47.441856,,
2017-03-10T13:12:24,78.139534,100,55.813953,54.418606,,
2017-03-10T13:12:25,75.81395,100,71.16279,58.139534,,
2017-03-10T13:12:26,79.06976,100,71.62791,58.604652,,
2017-03-10T13:12:27,81.39535,100,57.2093,65.5814,,
2017-03-10T13:12:28,81.39535,100,72.09302,55.34884,,
2017-03-10T13:12:29,80.93024,100,56.744186,45.581394,,
2017-03-10T13:12:30,80.46512,100,71.16279,37.2093,,
2017-03-10T13:12:31,81.39535,100,71.16279,41.860466,,
2017-03-10T13:12:32,80.93024,100,71.16279,35.81395,,
2017-03-10T13:12:33,78.139534,100,70.69768,37.2093,,
2017-03-10T13:12:34,75.81395,100,70.69768,36.27907,,
2017-03-10T13:12:35,75.34884,100,57.2093,67.441864,55.948742,-3.19504
2017-03-10T13:12:36,75.81395,100,59.069767,91.62791,55.948318,-3.194601
